Campaign	Labels	Campaign Type	Networks	Budget	Budget type	EU political ads	Standard conversion goals	Customer acquisition	Languages	Bid Strategy Type	Bid Strategy Name	Enhanced CPC	Start Date	End Date	Broad match keywords	Ad Schedule	Ad rotation	Content exclusions	Targeting method	Exclusion method	DSA Website	DSA Language	DSA targeting source	DSA page feeds	Audience targeting	Flexible Reach	AI Max	Text customization	Final URL expansion	Ad Group	Max CPC	Max CPM	Target CPA	Max CPV	Target CPV	Percent CPC	Target CPM	Target ROAS	Target CPC	Desktop Bid Modifier	Mobile Bid Modifier	Tablet Bid Modifier	TV Screen Bid Modifier	Display Network Custom Bid Type	Optimized targeting	Strict age and gender targeting	Search term matching	Ad Group Type	Channels	Audience name	Age demographic	Gender demographic	Income demographic	Parental status demographic	Remarketing audience segments	Interest categories	Life events	Custom audience segments	Detailed demographics	Remarketing audience exclusions	Tracking template	Final URL suffix	Custom parameters	ID	Location	Location type	Reach	Location groups	Radius	Unit	Bid Modifier	Account keyword type	Keyword	Criterion Type	First page bid	Top of page bid	First position bid	Quality score	Landing page experience	Expected CTR	Ad relevance	Final URL	Final mobile URL	Image Size	Upgraded extension	Link source	Ad type	Headline 1	Headline 1 position	Headline 2	Headline 2 position	Headline 3	Headline 3 position	Headline 4	Headline 4 position	Headline 5	Headline 5 position	Headline 6	Headline 6 position	Headline 7	Headline 7 position	Headline 8	Headline 8 position	Headline 9	Headline 9 position	Headline 10	Headline 10 position	Headline 11	Headline 11 position	Headline 12	Headline 12 position	Headline 13	Headline 13 position	Headline 14	Headline 14 position	Headline 15	Headline 15 position	Description 1	Description 1 position	Description 2	Description 2 position	Description 3	Description 3 position	Description 4	Description 4 position	Path 1	Path 2	Shared set name	Shared set type	Keyword count	Link Text	Description Line 1	Description Line 2	Source	Header	Snippet Values	Callout text	Phone Number	Country of Phone	Conversion Action	Campaign Status	Ad Group Status	Status	Approval Status	Ad strength	Comment
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車内 清掃 プロ	Phrase	148	148	240	5	Below average	Average	Above average																																																												Enabled	Enabled	Enabled	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車内 ルーム クリーニング	Phrase	86			4	Average	Below average	Average																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車内 クリーニング 嘔吐 どこに 頼む	Phrase					 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 座席 クリーニング	Phrase	96	167	371	5	Below average	Average	Above average																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 吐瀉 物 掃除	Phrase					 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 内装 掃除	Phrase	214	580	580	5	Below average	Average	Above average																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										ルーム クリーニング 車	Phrase	86	139	191	3	Below average	Average	Below average																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 清掃	Phrase					 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車内 ゲロ クリーニング	Phrase					 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車内 クリーニング 専門 店	Phrase	154	273	424	4	Below average	Average	Average																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 ルーム クリーニング	Phrase	208	208	208	6	Average	Average	Average																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 の 清掃 業者	Phrase					 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										軽 自動車 クリーニング	Phrase	980				 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車内 クリーニング	Phrase	208	272	375	5	Below average	Average	Above average																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車内 嘔吐	Phrase	82	110	257		 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 腐敗 臭	Phrase	167	668	668		 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 内装 クリーニング	Phrase	102				 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 の 中 掃除 業者	Phrase					 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車内 清掃	Phrase	183	183	850	3	Below average	Below average	Above average																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 の 内装 クリーニング	Phrase	113	113	257	7	Average	Average	Above average																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車内 丸洗い クリーニング	Phrase					 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車内 クリーニング 専門 業者	Phrase	114	180	471	7	Average	Above average	Average																																																												Enabled	Enabled	Enabled	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 の 車内 清掃	Phrase	272	450	550	5	Below average	Average	Above average																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車内 ゲロ 掃除	Phrase	154	171	282	3	Below average	Below average	Above average																																																												Enabled	Enabled	Paused	Approved		
