qs,lpe,ctr,rel,status,slug,campaign,ad_group,keyword,url
4,Below average,Average,Average,Enabled,car-ac-cleaning,沖縄県＿車内クリーニング,車 エアコンクリーニング,車 エアコンクリーニング,https://carinteriorcleaning.jp/regions/okinawa/car-ac-cleaning/
4,Below average,Average,Average,Enabled,car-ac-cleaning,愛知県＿車内クリーニング,車 エアコンクリーニング,車 エアコンクリーニング,https://carinteriorcleaning.jp/regions/aichi/car-ac-cleaning/
4,Below average,Average,Average,Enabled,car-ac-cleaning,千葉県＿車内クリーニング,車 エアコンクリーニング,車 エアコンクリーニング,https://carinteriorcleaning.jp/regions/chiba/car-ac-cleaning/
4,Below average,Average,Average,Enabled,car-ac-cleaning,兵庫県＿車内クリーニング,車 エアコンクリーニング,車 エアコンクリーニング,https://carinteriorcleaning.jp/regions/hyogo/car-ac-cleaning/
4,Below average,Average,Average,Enabled,car-ac-cleaning,群馬県＿車内クリーニング,車 エアコンクリーニング,車 エアコンクリーニング,https://carinteriorcleaning.jp/regions/gunma/car-ac-cleaning/
4,Below average,Average,Average,Enabled,interior-cleaning,宮城県＿車内クリーニング,int宮城_通常清掃,車内 クリーニング 専門 店 宮城,https://carinteriorcleaning.jp/regions/miyagi/interior-cleaning/
4,Below average,Average,Average,Enabled,kuruma-nioi-keshi,愛知県＿車内クリーニング,消臭_口語,車 消臭,https://carinteriorcleaning.jp/regions/aichi/kuruma-nioi-keshi/
4,Below average,Average,Average,Enabled,kuruma-nioitori,愛知県＿車内クリーニング,車の匂い取り,車の匂い取り,https://carinteriorcleaning.jp/regions/aichi/kuruma-nioitori/
4,Below average,Average,Average,Enabled,kyuto-cleaning,沖縄県＿車内クリーニング,車 嘔吐 クリーニング,車内 嘔吐 清掃,https://carinteriorcleaning.jp/regions/okinawa/kyuto-cleaning/
4,Below average,Average,Average,Enabled,seat-cleaning,千葉県＿車内クリーニング,車シート クリーニング,車 シート 丸洗い 業者,https://carinteriorcleaning.jp/regions/chiba/seat-cleaning/
4,Below average,Average,Average,Enabled,seat-cleaning,大阪府＿車内クリーニング,車シート クリーニング,車シート クリーニング,https://carinteriorcleaning.jp/regions/osaka/seat-cleaning/
