campaign,ad_group,keyword,match_type,quality_score,landing_page_experience,expected_ctr,ad_relevance,final_url,status
福岡県＿車内クリーニング,int トラック福岡,トラック 臭い 消し,Phrase,3,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/fukuoka-truck/,Enabled
群馬県＿車内クリーニング,int群馬_通常清掃,車内 嘔吐 臭い 消し,Phrase,3,Below average,Below average,Above average,,Enabled
群馬県＿車内クリーニング,車 匂い 消し・消臭洗浄,車 匂い 消し,Phrase,3,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/gunma/kuruma-nioi-keshi/,Enabled
群馬県＿車内クリーニング,車シート 洗浄,車シート 洗浄,Phrase,3,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/gunma/seat-senjo/,Enabled
栃木県＿車内クリーニング,AG_エアコン_エバポ,エアコン エバポレーター,Phrase,3,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/tochigi/evaporator-senjo/,Paused
大阪府＿車内クリーニング,int大阪_通常清掃,車 ゲロ クリーニング,Phrase,4,Below average,Average,Average,,Paused
大阪府＿車内クリーニング,int大阪_通常清掃,車内 ルーム クリーニング,Phrase,4,Average,Below average,Average,,Paused
大阪府＿車内クリーニング,int大阪_通常清掃,車内 クリーニング 専門 店,Phrase,4,Below average,Average,Average,,Paused
大阪府＿車内クリーニング,int大阪_通常清掃,車 嘔吐 クリーニング,Phrase,4,Below average,Average,Average,,Paused
大阪府＿車内クリーニング,車シート クリーニング,車シート クリーニング,Phrase,4,Below average,Average,Average,https://carinteriorcleaning.jp/regions/osaka/seat-cleaning/,Enabled
沖縄県＿車内クリーニング,車 エアコンクリーニング,車 エアコンクリーニング,Phrase,4,Below average,Average,Average,https://carinteriorcleaning.jp/regions/okinawa/car-ac-cleaning/,Enabled
沖縄県＿車内クリーニング,車 嘔吐 クリーニング,車内 嘔吐 清掃,Phrase,4,Below average,Average,Average,https://carinteriorcleaning.jp/regions/okinawa/kyuto-cleaning/,Enabled
宮城県＿車内クリーニング,int宮城_通常清掃,車内 クリーニング 専門 店 宮城,Broad,4,Below average,Average,Average,,Enabled
愛知県＿車内クリーニング,車内 消臭・脱臭洗浄,車内 臭い,Phrase,4,Average,Below average,Average,https://carinteriorcleaning.jp/regions/aichi/shanai-shoshu/,Enabled
愛知県＿車内クリーニング,車 エアコンクリーニング,車 エアコンクリーニング,Phrase,4,Below average,Average,Average,https://carinteriorcleaning.jp/regions/aichi/car-ac-cleaning/,Enabled
