qs,keyword,status,lpe,ctr,rel,final_url,ad_group,campaign,slug
6,車内 消 臭 プロ,Enabled,Average,Above average,Below average,https://carinteriorcleaning.jp/regions/tochigi/shanai-shoshu/,車内 消臭・脱臭洗浄,栃木県＿車内クリーニング,shanai-shoshu
6,車内 清掃 プロ,Enabled,Average,Average,Average,,int千葉_通常清掃,千葉県＿車内クリーニング,
7,エバポレーター洗浄 出張,Paused,Below average,Above average,Above average,https://carinteriorcleaning.jp/regions/tochigi/evaporator-senjo/,AG_エアコン_エバポレーター,栃木県＿車内クリーニング,evaporator-senjo
7,車 の クリーニング,Paused,Average,Average,Above average,,int大阪_通常清掃,大阪府＿車内クリーニング,
7,車 の 内装 クリーニング,Paused,Average,Average,Above average,,int大阪_通常清掃,大阪府＿車内クリーニング,
7,車 の 室内 清掃,Paused,Average,Average,Above average,,int大阪_通常清掃,大阪府＿車内クリーニング,
7,車 クリーニング 大阪,Enabled,Average,Average,Above average,https://carinteriorcleaning.jp/regions/osaka/kyuto-cleaning/,車 嘔吐 クリーニング,大阪府＿車内クリーニング,kyuto-cleaning
7,車 シート 掃除 業者,Enabled,Average,Above average,Average,https://carinteriorcleaning.jp/regions/osaka/seat-cleaning/,車シート クリーニング,大阪府＿車内クリーニング,seat-cleaning
7,車 シート 掃除 業者,Enabled,Average,Average,Above average,https://carinteriorcleaning.jp/regions/fukuoka/seat-cleaning/,車シート クリーニング,福岡県＿車内クリーニング,seat-cleaning
7,車 嘔吐 クリーニング,Enabled,Average,Average,Above average,https://carinteriorcleaning.jp/regions/okinawa/kyuto-cleaning/,車 嘔吐 クリーニング,沖縄県＿車内クリーニング,kyuto-cleaning
7,車 嘔吐 クリーニング 大阪,Enabled,Average,Above average,Average,https://carinteriorcleaning.jp/regions/osaka/kyuto-cleaning/,車 嘔吐 クリーニング,大阪府＿車内クリーニング,kyuto-cleaning
7,車 室内 クリーニング,Paused,Average,Average,Above average,,int大阪_通常清掃,大阪府＿車内クリーニング,
7,車 室内 クリーニング,Paused,Average,Average,Above average,https://carinteriorcleaning.jp/regions/osaka-truck/,int トラック大阪,大阪府＿車内クリーニング,osaka-truck
7,車シート クリーニング,Enabled,Average,Average,Above average,https://carinteriorcleaning.jp/regions/okinawa/seat-cleaning/,車シート クリーニング,沖縄県＿車内クリーニング,seat-cleaning
7,車シート クリーニング,Enabled,Average,Average,Above average,https://carinteriorcleaning.jp/regions/miyagi/seat-cleaning/,車シート クリーニング,宮城県＿車内クリーニング,seat-cleaning
7,車シート クリーニング,Enabled,Average,Average,Above average,https://carinteriorcleaning.jp/regions/tochigi/seat-cleaning/,車シート クリーニング,栃木県＿車内クリーニング,seat-cleaning
7,車内 クリーニング 専門 店 兵庫,Enabled,Average,Above average,Average,,int兵庫_通常清掃,兵庫県＿車内クリーニング,
7,車内 クリーニング 専門 業者,Enabled,Average,Above average,Average,,int大阪_通常清掃,大阪府＿車内クリーニング,
7,車内 クリーニング 専門 業者,Enabled,Average,Above average,Average,,int兵庫_通常清掃,兵庫県＿車内クリーニング,
7,車内 クリーニング 専門 業者,Enabled,Average,Above average,Average,,int栃木_通常清掃,栃木県＿車内クリーニング,
7,車内 消 臭 プロ,Enabled,Average,Above average,Average,https://carinteriorcleaning.jp/regions/osaka/shanai-shoshu/,車内 消臭・脱臭洗浄,大阪府＿車内クリーニング,shanai-shoshu
7,車内 清掃,Paused,Average,Average,Above average,https://carinteriorcleaning.jp/regions/okinawa/interior-cleaning/,int沖縄２515,沖縄県＿車内クリーニング,interior-cleaning
7,車内 脱臭,Enabled,Average,Average,Above average,https://carinteriorcleaning.jp/regions/okinawa/shanai-shoshu/,車内 消臭・脱臭洗浄,沖縄県＿車内クリーニング,shanai-shoshu
8,トラック 室内 清掃,Enabled,Average,Above average,Above average,https://carinteriorcleaning.jp/regions/osaka-truck/,int トラック大阪,大阪府＿車内クリーニング,osaka-truck
8,トラック 室内 清掃,Enabled,Average,Above average,Above average,https://carinteriorcleaning.jp/regions/hyogo-truck/,int トラック兵庫,兵庫県＿車内クリーニング,hyogo-truck
8,大阪 嘔吐 車内清掃,Enabled,Average,Above average,Above average,https://carinteriorcleaning.jp/regions/osaka/kyuto-cleaning/,AG_緊急_嘔吐,大阪府＿車内クリーニング,kyuto-cleaning
8,車 シート 丸洗い 業者,Enabled,Average,Above average,Above average,https://carinteriorcleaning.jp/regions/fukuoka/seat-cleaning/,車シート クリーニング,福岡県＿車内クリーニング,seat-cleaning
8,車シート クリーニング,Enabled,Average,Above average,Above average,https://carinteriorcleaning.jp/regions/hyogo/seat-cleaning/,車シート クリーニング,兵庫県＿車内クリーニング,seat-cleaning
8,車内 クリーニング 嘔吐 大阪,Paused,Average,Above average,Above average,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,int大阪_通常清掃,大阪府＿車内クリーニング,interior-cleaning
8,車内 清掃 プロ,Enabled,Average,Above average,Above average,,int群馬_通常清掃,群馬県＿車内クリーニング,
8,車内クリーニング 専門店,Enabled,Average,Above average,Above average,https://carinteriorcleaning.jp/regions/okinawa/shutchou-senmon/,出張 車内クリーニング 専門店,沖縄県＿車内クリーニング,shutchou-senmon
