qs,keyword,status,lpe,ctr,rel,final_url,ad_group,campaign,slug
5,車シート 洗浄,Enabled,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/osaka/seat-senjo/,車シート 洗浄,大阪府＿車内クリーニング,seat-senjo
5,車シート 洗浄,Enabled,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/okinawa/seat-senjo/,車シート 洗浄,沖縄県＿車内クリーニング,seat-senjo
5,車シート 洗浄,Enabled,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/miyagi/seat-senjo/,車シート 洗浄,宮城県＿車内クリーニング,seat-senjo
5,車シート 洗浄,Enabled,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/aichi/seat-senjo/,車シート 洗浄,愛知県＿車内クリーニング,seat-senjo
5,車シート 洗浄,Enabled,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/chiba/seat-senjo/,車シート 洗浄,千葉県＿車内クリーニング,seat-senjo
5,車シート 洗浄,Enabled,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/hyogo/seat-senjo/,車シート 洗浄,兵庫県＿車内クリーニング,seat-senjo
5,車シート 洗浄,Enabled,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/fukuoka/seat-senjo/,車シート 洗浄,福岡県＿車内クリーニング,seat-senjo
5,車内 クリーニング,Paused,Below average,Average,Above average,,int大阪_通常清掃,大阪府＿車内クリーニング,
5,車内 クリーニング,Paused,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/osaka-truck/,int トラック大阪,大阪府＿車内クリーニング,osaka-truck
5,車内 クリーニング 大阪,Paused,Below average,Average,Above average,,int大阪_通常清掃,大阪府＿車内クリーニング,
5,車内 クリーニング 専門 店,Paused,Below average,Above average,Below average,https://carinteriorcleaning.jp/regions/osaka-truck/,int トラック大阪,大阪府＿車内クリーニング,osaka-truck
5,車内 クリーニング 専門 店 愛知,Enabled,Average,Average,Below average,,int愛知_通常清掃,愛知県＿車内クリーニング,
5,車内 クリーニング 専門 業者,Enabled,Average,Average,Below average,,int愛知_通常清掃,愛知県＿車内クリーニング,
5,車内 クリーニング 専門 業者,Enabled,Below average,Above average,Below average,,int福岡_通常清掃,福岡県＿車内クリーニング,
5,車内 嘔吐 クリーニング,Enabled,Average,Average,Below average,https://carinteriorcleaning.jp/regions/okinawa/kyuto-cleaning/,車 嘔吐 クリーニング,沖縄県＿車内クリーニング,kyuto-cleaning
5,車内 嘔吐 清掃,Enabled,Average,Below average,Above average,https://carinteriorcleaning.jp/regions/aichi/kyuto-cleaning/,車 嘔吐 クリーニング,愛知県＿車内クリーニング,kyuto-cleaning
5,車内 嘔吐 清掃,Enabled,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/chiba/kyuto-cleaning/,車 嘔吐 クリーニング,千葉県＿車内クリーニング,kyuto-cleaning
5,車内 洗浄,Paused,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/osaka-truck/,int トラック大阪,大阪府＿車内クリーニング,osaka-truck
5,車内 消 臭 プロ,Enabled,Average,Average,Below average,https://carinteriorcleaning.jp/regions/hyogo/shanai-shoshu/,車内 消臭・脱臭洗浄,兵庫県＿車内クリーニング,shanai-shoshu
5,車内 消臭,Enabled,Average,Below average,Above average,https://carinteriorcleaning.jp/regions/okinawa/shanai-shoshu/,車内 消臭・脱臭洗浄,沖縄県＿車内クリーニング,shanai-shoshu
5,車内 清掃 プロ,Enabled,Below average,Average,Above average,,int大阪_通常清掃,大阪府＿車内クリーニング,
6,車 クリーニング 福岡,Enabled,Average,Average,Average,https://carinteriorcleaning.jp/regions/fukuoka/kyuto-cleaning/,車 嘔吐 クリーニング,福岡県＿車内クリーニング,kyuto-cleaning
6,車 ルーム クリーニング,Paused,Average,Average,Average,,int大阪_通常清掃,大阪府＿車内クリーニング,
6,車 匂い 消し 業者,Enabled,Average,Above average,Below average,https://carinteriorcleaning.jp/regions/osaka/kuruma-nioi-keshi/,AG_消臭_口語,大阪府＿車内クリーニング,kuruma-nioi-keshi
6,車シート クリーニング,Enabled,Average,Average,Average,https://carinteriorcleaning.jp/regions/fukuoka/seat-cleaning/,車シート クリーニング,福岡県＿車内クリーニング,seat-cleaning
6,車内 クリーニング 専門 店 千葉,Enabled,Average,Average,Average,,int千葉_通常清掃,千葉県＿車内クリーニング,
6,車内 クリーニング 専門 店 大阪,Enabled,Average,Average,Average,,int大阪_通常清掃,大阪府＿車内クリーニング,
6,車内 クリーニング 専門 店 福岡,Enabled,Average,Average,Average,,int福岡_通常清掃,福岡県＿車内クリーニング,
6,車内 クリーニング 専門 業者,Enabled,Average,Average,Average,,int宮城_通常清掃,宮城県＿車内クリーニング,
6,車内 クリーニング 専門 業者,Enabled,Below average,Above average,Average,,int千葉_通常清掃,千葉県＿車内クリーニング,
6,車内 消 臭 プロ,Enabled,Average,Average,Average,https://carinteriorcleaning.jp/regions/aichi/shanai-shoshu/,車内 消臭・脱臭洗浄,愛知県＿車内クリーニング,shanai-shoshu
6,車内 消 臭 プロ,Enabled,Average,Above average,Below average,https://carinteriorcleaning.jp/regions/chiba/shanai-shoshu/,車内 消臭・脱臭洗浄,千葉県＿車内クリーニング,shanai-shoshu
6,車内 消 臭 プロ,Enabled,Average,Average,Average,https://carinteriorcleaning.jp/regions/gunma/shanai-shoshu/,車内 消臭・脱臭洗浄,群馬県＿車内クリーニング,shanai-shoshu
